,species,identifier,primary,mutant,heterologous_expression,KC,KC_SD,vC,vC_SD,S,S_SD,KO,KO_SD,vO,vO_95CI_low,vO_95CI_high,kon_C,kon_O_95CI_low,kon_O_95CI_high,kon_O,kon_O_95CI_low,kon_O_95CI_high,KRuBP,KRuBP_SD,temp_C,pH,isoform,taxonomy,note,short_ref,pmid_or_doi,citation
173,Flaveria australasica,australasica_savir,0,0,,22,4.7,3.84,0.03,77.2,0.3,309,17,0.697,0.482,1.21,0.174,0.0016,0.00386,0.00226,0.0016,0.00386,,,25,,1,C4 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
174,Potulaca oleraca,oleraca_savir,0,0,,13.6,0.1,5.9,0.44,78,4,,,,,,,,,,,,,,25,,1,C4 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
175,Sorghum bicolor,bicolor_savir,0,0,,30,0.3,5.4,0.12,70,1,,,,,,,,,,,,,,25,,1,C4 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
176,Zea mays,mays_savir,0,0,,34,2.38,4.4,0.22,78,3,810,97.2,1.35,0.977,1.79,0.129,0.00138,0.00201,0.00166,0.00138,0.00201,,,25,,1,C4 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
177,Cenchrus ciliaris,ciliaris_sharwood,1,0,False,19,0.7,6,0.8,69.9,3,470,52,2.11,1.41,2.96,0.315,0.00325,0.00586,0.00452,0.00325,0.00586,,,25,8.16,1,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
178,Megathyrsus maximus,maximus_sharwood,1,0,False,13.9,0.8,5.3,0.5,80.3,2.8,265,34,1.26,0.874,1.72,0.381,0.00375,0.00589,0.00475,0.00375,0.00589,,,25,8.16,1,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
179,Panicum antidotale,antidotale_sharwood,1,0,False,,,3.9,0.2,74.5,0.4,,,,,,,,,,,,,,25,8.16,1,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
180,Panicum coloratum,coloratum_sharwood,1,0,False,11.1,0.5,3.4,0.6,84.8,2.8,445,58,1.6,0.946,2.4,0.308,0.00231,0.00497,0.00363,0.00231,0.00497,,,25,8.16,1,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
181,Panicum deustum,deustum_sharwood,1,0,False,15.4,0.2,5,0.5,84.8,0.2,306,16,1.17,0.919,1.44,0.325,0.00308,0.00458,0.00383,0.00308,0.00458,,,25,8.16,1,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
182,Panicum milliaceum,milliaceum_sharwood,1,0,False,7.2,0.3,2.1,0.3,79.9,4.3,313,46,1.13,0.703,1.67,0.292,0.00259,0.00485,0.00365,0.00259,0.00485,,,25,8.16,1,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
183,Panicum monticola,monticola_sharwood,1,0,False,18.2,0.5,5.3,0.7,79.4,1.7,543,67,1.98,1.31,2.8,0.291,0.00269,0.00468,0.00367,0.00269,0.00468,,,25,8.16,1,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
184,Panicum virgatum,virgatum_sharwood,1,0,False,12.7,0.1,3.3,0.9,82.6,2.8,271,12,0.85,0.383,1.33,0.26,0.00143,0.00483,0.00314,0.00143,0.00483,,,25,8.16,1,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
185,Setaria viridis,viridis_sharwood,1,0,False,18.1,0.6,5.9,0.5,72.7,0.2,619,86,2.76,1.93,3.72,0.326,0.00372,0.00531,0.00449,0.00372,0.00531,,,25,8.16,1,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
186,Urochloa mosambicensis,mosambicensis_sharwood,1,0,False,14.8,0.4,5.7,0.7,82.5,1.3,464,79,2.14,1.32,3.14,0.386,0.00354,0.00586,0.00467,0.00354,0.00586,,,25,8.16,1,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
187,Urochloa panicoides,panicoides_sharwood,1,0,False,15.4,0.7,5.6,0.6,78.3,0.3,444,80,2.04,1.25,2.99,0.364,0.00363,0.00574,0.00466,0.00363,0.00574,,,25,8.16,1,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
188,Flaveria bidentis,bidentis_whitney,,0,,20.4,0.5,4.8,0.3,81,1,420,37,1.22,0.968,1.5,0.235,0.00253,0.00331,0.0029,0.00253,0.00331,,,25,,1,C4 plants,,Whitney 2011,,"Whitney, S. M., Sharwood, R. E., Orr, D., White, S. J., Alonso, H., and Galmés, J. (2011). Isoleucine 309 acts as a C4 catalytic switch that increases ribulose-1,5-bisphosphate carboxylase/oxygenase (rubisco) carboxylation rate in Flaveria. Proc. Natl. Acad. Sci. U. S. A. 108, 14688–14693."
189,Flaveria brownii ,brownii_kubien,1,0,False,12.8,0.9,2.58,0.2,83.8,2.3,378,22,0.909,0.713,1.15,0.202,0.00194,0.00297,0.00241,0.00194,0.00297,15.1,1.4,25,8,1,C4-like plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
190,Flaveria palmeri ,palmeri_kubien,1,0,False,13.5,0.9,3.54,0.16,83.8,1,193,5,0.604,0.512,0.719,0.262,0.00268,0.00369,0.00313,0.00268,0.00369,16.7,0.8,25,8,1,C4-like plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
191,Flaveria vaginata ,vaginata_kubien,1,0,False,21.4,1.9,3.78,0.54,78.7,1.5,880,49,1.97,1.35,2.72,0.176,0.00157,0.00306,0.00224,0.00157,0.00306,16.9,0.5,25,8,1,C4-like plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
192,Agave victoriae−reginae,victoriae−reginae_galmes,1,0,False,9.7,0.4,3.4,0.1,,,400,44,,,,,,,,,,,,25,8,1,CAM plants,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
193,Carpobrotus edulis,edulis_galmes,1,0,False,9.5,0.2,3.6,0.1,,,313,17,,,,,,,,,,,,25,8,1,CAM plants,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
194,Echeveria elegans,elegans_galmes,1,0,False,10.5,0.7,4.5,0.2,,,236,27,,,,,,,,,,,,25,8,1,CAM plants,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
195,Drosera capensis,capensis_galmes,1,0,False,10.3,0.4,4.7,0.2,,,327,24,,,,,,,,,,,,25,8,1,Carnivorous plants,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
196,Drosera venusta,venusta_galmes,1,0,False,11.8,0.2,3.3,0.1,,,348,5,,,,,,,,,,,,25,8,1,Carnivorous plants,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
197,Sarracenia flava,flava_galmes,1,0,False,12.6,0.1,4.4,0.1,,,426,19,,,,,,,,,,,,25,8,1,Carnivorous plants,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
198,C. fusiformis,fusiformis_read,1,0,,36,1,1.95,0.114,111,9,568,99,0.278,0.175,0.4,0.0541,0.000402,0.000602,0.000488,0.000402,0.000602,7.8,1.5,25,8,1,Chromophyte algae,,Read 1994,8031129,"Read, B. A., and Tabita, F. R. (1994). High substrate specificity factor ribulose bisphosphate carboxylase/oxygenase from eukaryotic marine algae and properties of recombinant cyanobacterial RubiSCO containing “algal” residue modifications. Arch. Biochem. Biophys. 312, 210–218."
199,Olisthodiscus luteus,luteus_read,1,0,,59,4,0.83,0.0486,100,5.8,692,121,0.0967,0.0611,0.141,0.0141,0.000114,0.000175,0.00014,0.000114,0.000175,23.5,3,25,8,1,Chromophyte algae,,Read 1994,8031129,"Read, B. A., and Tabita, F. R. (1994). High substrate specificity factor ribulose bisphosphate carboxylase/oxygenase from eukaryotic marine algae and properties of recombinant cyanobacterial RubiSCO containing “algal” residue modifications. Arch. Biochem. Biophys. 312, 210–218."
200,Anabena variabilis,variabilis_badger,1,0,False,293,27,,,,,,,,,,,,,,,,21.4,1.3,25,8,1,Cyanobacteria,,Badger 1980,6772105,"Badger, M. R. (1980). Kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase from Anabaena variabilis. Arch. Biochem. Biophys. 201, 247–254."
201,Anacystis nidulans,nidulans_bainbridge,1,0,Unclear,,,7.2,0.15,46.3,0.9,,,,,,,,,,,,,,25,8,1,Cyanobacteria,"Methods not clear from paper, assumed pH 8 and T = 25 since the data are compared to papers for which that is the case.",Bainbridge 1995,https://doi.org/10.1093/jxb/46.special_issue.1272,"Bainbridge, G. et al. Engineering Rubisco to change its catalytic properties. J. Exp. Bot. 46, 1269–1276 (1995)."
202,Synechococcus sp. PCC7002,7002_gubernator,1,0,E. coli,,,,,,,,,,,,,,,,,,,,25,8.2,1,Cyanobacteria,Unclear what temperature this is at from the paper.,Gubernator 2008,17922215,"Gubernator, B., Bartoszewski, R., Kroliczewski, J., Wildner, G., and Szczepaniak, A. (2008). Ribulose-1,5-bisphosphate carboxylase/oxygenase from thermophilic cyanobacterium Thermosynechococcus elongatus. Photosynth. Res. 95, 101–109."
203,Aphanizomenon flos aquae,flos_aquae_jordan81,1,0,False,105,9.15,,,48,2,990,129,,,,,,,,,,,,25,8.3,1,Cyanobacteria,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a11,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
204,Coccochloris peniocystis,peniocystis_jordan81,1,0,False,121,10.5,,,47,2,1220,160,,,,,,,,,,,,25,8.3,1,Cyanobacteria,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a10,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
205,Aphanocapsa alpicola,alpicola_jordan83,1,0,False,80,22,,,48,1,,,,,,,,,,,,,,25,8.3,1,Cyanobacteria,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
206,Plectonema boryanum,boryanum_jordan83,1,0,False,100,38,,,54,2,,,,,,,,,,,,,,25,8.3,1,Cyanobacteria,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
207,Synechococcus sp. PCC 6301,6301_kane,1,0,E. coli,,,11.6,0.68,42.5,1,,,,,,,,,,,,21,1.66,25,8.3,1,Cyanobacteria,CO2/O2 gas mix added in presence of bovine CA,Kane 1994,https://doi.org/10.1071/PP9940450,"Kane et al., 1994, An Improved Method for Measuring the CO 2 /O 2 Specificity of Ribulosebisphosphate Carboxylase-Oxygenase Australian journal of plant physiology 21(4):449-462"
208,Synechococcus sp. PCC 6301,6301_morrell,1,0,E. coli,284,24.7,11.6,0.68,43,1,,,,,,,,,,,,21,1.66,25,,1,Cyanobacteria,"Cites Andrews 1988 for kcat & KM methods, Kane 1994 for S measurement",Morell 1994,8132534,"Morell, M. K., Paul, K., O’Shea, N. J., Kane, H. J. & Andrews, T. J. Mutations of an active site threonyl residue promote beta elimination and other side reactions of the enediol intermediate of the ribulose bisphosphate carboxylase reaction. J. Biol. Chem. 269, 8091–8098 (1994)."
209,Aphanizomenon flos aquae,flos_aquae_savir,0,0,,105,7.3,,,48,2,990,118,,,,,,,,,,,,25,,1,Cyanobacteria,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
210,Coccochloris peniocystis,peniocystis_savir,0,0,,121,8.5,,,47,2,1220,146,,,,,,,,,,,,25,,1,Cyanobacteria,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
211,Synechococcus sp. PCC 6301,6301_savir,0,0,,340,12,11.6,0.4,43,1,972,26,0.77,0.685,0.868,0.0341,0.000712,0.000883,0.000793,0.000712,0.000883,,,25,,1,Cyanobacteria,"Sage RF, Seemann JR. Regulation of Ribulose-1,5-Bisphosphate Carboxylase/Oxygenase Activity in Response to Reduced Light Intensity in C4 Plants. Plant Physiol. 1993 May;102(1):21-28.",Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
212,Synechococcus sp. PCC 7002,7002_savir,0,0,,246,20,13.4,0.4,52,2,1300,130,1.36,1.03,1.78,0.0545,0.000878,0.00128,0.00105,0.000878,0.00128,,,25,,1,Cyanobacteria,likely calculated from data in lorimer and then corrected to an updated pKa value,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
213,Prochlorococcus marinus MIT9313,marinus_shih,1,0,E. coli,309,24,6.58,0.25,59.9,7,1400,300,0.501,0.273,0.806,0.0213,0.000274,0.000487,0.000358,0.000274,0.000487,,,25,8,1,Cyanobacteria,,Shih 2016,26790750,"Shih, Patrick M., Alessandro Occhialini, Jeffrey C. Cameron, P. John Andralojc, Martin A. J. Parry, and Cheryl A. Kerfeld. 2016. “Biochemical Characterization of Predicted Precambrian RuBisCO.” Nature Communications 7 (January). Nature Publishing Group:10382."
214,Synechococcus sp. PCC 6301,6301_shih,1,0,E. coli,152,23,9.78,0.48,50.3,2,1231,135,1.58,1.08,2.39,0.0645,0.00096,0.00185,0.00128,0.00096,0.00185,,,25,8,1,Cyanobacteria,,Shih 2016,26790750,"Shih, Patrick M., Alessandro Occhialini, Jeffrey C. Cameron, P. John Andralojc, Martin A. J. Parry, and Cheryl A. Kerfeld. 2016. “Biochemical Characterization of Predicted Precambrian RuBisCO.” Nature Communications 7 (January). Nature Publishing Group:10382."
215,Synechococcus sp. PCC 7515,synechococcus_zhu,,,,81,5,6.6,0.2,47,2,460,35,0.799,0.638,0.991,0.0816,0.00149,0.00205,0.00174,0.00149,0.00205,,,25,,1,Cyanobacteria,"In Galmes et al., species is 'lividus' = PCC7515, in primary source 'wildtype'",Zhu 1998,,"Zhu G, Jensen RG, Bohnert HJ, Wildner GF, Schlitter J (1998) Dependence of catalysis and CO2/O2 specificity of Rubisco on the carboxy-terminus of the large subunit at different temperatures. Photosynth Res 57:71–79."
216,Chaetoceros socialis,socialis_haslam,,0,,,,,,92,2.1,,,,,,,,,,,,,,25,8.2,1,Diatoms,References Parry 1989 for S measurement,Haslam 2005,https://doi.org/10.1007/4-431-31014-2_18,"Haslam RP, Keys AJ, Andralojc PJ, Madgwick PJ, Andersson I, Grimsrud A Eilertsen HC, Parry MAJ. 2005. Specificity of diatom Rubisco. In: Omasa K, Nouchi I, De Kok LJ, eds. Plant Responses to Air Pollution and Global Change. Tokyo: Springer-Verlag, 157–164."
217,Skeletonema costatum,costatum_haslam,,,,,,,,72,2.2,,,,,,,,,,,,,,25,8.2,1,Diatoms,References Parry 1989 for S measurement,Haslam 2005,https://doi.org/10.1007/4-431-31014-2_19,"Haslam RP, Keys AJ, Andralojc PJ, Madgwick PJ, Andersson I, Grimsrud A Eilertsen HC, Parry MAJ. 2005. Specificity of diatom Rubisco. In: Omasa K, Nouchi I, De Kok LJ, eds. Plant Responses to Air Pollution and Global Change. Tokyo: Springer-Verlag, 157–164."
218,Thalassiosira antarctica,antarctica_haslam,,,,,,,,90,3.2,,,,,,,,,,,,,,25,8.2,1,Diatoms,References Parry 1989 for S measurement,Haslam 2005,https://doi.org/10.1007/4-431-31014-2_20,"Haslam RP, Keys AJ, Andralojc PJ, Madgwick PJ, Andersson I, Grimsrud A Eilertsen HC, Parry MAJ. 2005. Specificity of diatom Rubisco. In: Omasa K, Nouchi I, De Kok LJ, eds. Plant Responses to Air Pollution and Global Change. Tokyo: Springer-Verlag, 157–164."
219,Thalassiosira hyalina,hyalina_haslam,,,,,,,,97,3.4,,,,,,,,,,,,,,25,8.2,1,Diatoms,References Parry 1989 for S measurement,Haslam 2005,https://doi.org/10.1007/4-431-31014-2_21,"Haslam RP, Keys AJ, Andralojc PJ, Madgwick PJ, Andersson I, Grimsrud A Eilertsen HC, Parry MAJ. 2005. Specificity of diatom Rubisco. In: Omasa K, Nouchi I, De Kok LJ, eds. Plant Responses to Air Pollution and Global Change. Tokyo: Springer-Verlag, 157–164."
220,Bellerochea cf. horologicalis (CS-874/01),horologicalis_young,1,0,False,50,4,2.1,0.2,,,764,190,,,,,,,,,,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
221,Chaetoceros calcitrans (CCMP 1315),calcitransCCMP1315_young,1,0,False,25,1,2.6,0.2,57,11,413,53,0.752,0.478,1.3,0.104,0.00127,0.00299,0.00182,0.00127,0.00299,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
222,Chaetoceros calcitrans (CS-178),calcitransCS178_young,1,0,False,31,2,3.4,0.6,75,1,490,54,0.71,0.438,1.05,0.109,0.000946,0.00203,0.00146,0.000946,0.00203,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
223,Chaetoceros muelleri (CCMP 1316),muelleri_young,1,0,False,23,1.5,2.4,0.3,96,2,425,67,0.458,0.285,0.675,0.104,0.000799,0.00142,0.00109,0.000799,0.00142,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
224,Cylindrotheca fusiformis (CS-13),fusiformis_young,1,0,False,,,3.7,0.2,79,1,,,,,,,,,,,,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
225,Fragilariopsis cylindrus (CCMP 1102),cylindrus_young,1,0,False,64,8,3.5,0.3,77,1,667,255,0.473,0.118,0.914,0.0546,0.000532,0.00098,0.00071,0.000532,0.00098,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
226,Phaeodactylum tricornutum (CS-29),tricornutumCS29_young,1,0,False,41,1,3.3,0.6,116,2,664,54,0.459,0.283,0.656,0.0805,0.000437,0.000954,0.000694,0.000437,0.000954,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
227,Phaeodactylum tricornutum (UTEX 642),tricornutumUTEX642_young,1,0,False,36,1,3.2,0.9,108,2,592,44,0.486,0.22,0.773,0.0889,0.000382,0.00128,0.000823,0.000382,0.00128,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
228,Skeletonema marinoi (CCMP 1332),marinoi_young,1,0,False,68,8,3.2,1.1,,,883,346,,,,,,,,,,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
